customer_id,customer_name,email,phone,city,state,country,registration_date
1001,Kerry Davidson,mrodriguez@yahoo.com,001-138-260-3107,Hudsonburgh,NE,USA,2023-03-23
1002,Lucas Young,uwalsh@yahoo.com,001-774-483-0717x38593,Brianstad,AK,USA,2022-08-28
1003,Aaron Fernandez,nelsonscott@yahoo.com,303-788-1293x8891,Port Eric,UT,USA,2022-04-14
1004,Jamie Fuentes,honeal@yahoo.com,+1-193-019-8347,Palmerfurt,MD,USA,2024-08-08
1005,George Cruz,bedwards@gmail.com,+1-599-440-1209x3851,North Richardshire,WY,USA,2024-06-08
1006,Justin Gardner,trichardson@gmail.com,862-204-1589,New James,LA,USA,2023-05-26
1007,Jasmine Barrett,dawnschneider@gmail.com,384.722.8401x862,Josephside,SD,USA,2024-08-20
1008,Tracy Mack,rhendricks@gmail.com,(467)879-6240x32349,Martinezfort,OH,USA,2024-12-21
1009,Sandra Farmer,matthew79@hotmail.com,(012)234-4496x583,Taylormouth,IN,USA,2025-01-19
1010,Cynthia Brown,michaelowen@wilson-clements.com,2599013539,East Katherineport,PA,USA,2023-07-30
1011,Anthony Rosales,claytongreene@brown.biz,267.045.8992x2911,North Gabrielberg,TN,USA,2023-08-10
1012,Alexis Walker,jimmydean@thomas.biz,(312)480-6972,South Justin,NE,USA,2022-12-30
1013,Michelle Johnson,petersonleslie@jones.info,568-365-4273,Morrisbury,OK,USA,2023-09-30
1014,Latoya Stanley,jennifer83@hughes-young.com,366.344.0359x336,South Craig,FL,USA,2022-12-12
1015,Abigail Park,jeffreystewart@gmail.com,573-261-8304x321,West Desiree,TX,USA,2025-01-17
1016,Amy Savage,williamskathleen@bailey.com,897-286-8465,Lake Rebecca,NE,USA,2023-11-01
1017,Jennifer Hunt,btanner@hotmail.com,134.895.3859,Racheltown,VA,USA,2022-10-11
1018,Jose Burns,steven01@roberts.com,519-778-4884,West Larrytown,NV,USA,2024-12-14
1019,Mark Jackson,hray@powell.com,+1-127-252-4961x85301,Banksfurt,MO,USA,2024-08-19
1020,Stacey Fuller,thomas23@glenn.com,7132519478,Samuelport,AZ,USA,2024-08-24
1021,Cheryl Meadows,kristawhitney@phillips.com,778.603.4039,Port Brianna,NC,USA,2023-03-07
1022,Nicole Rivera,youngkeith@hotmail.com,(289)614-9891,East Jared,ND,USA,2023-05-23
1023,Natalie Serrano,kendra47@lee-fitzpatrick.com,(581)623-6720,North Karen,CT,USA,2024-11-11
1024,Gabriel Vargas,ashleyjackson@gmail.com,001-045-178-7967,South Karlatown,KS,USA,2024-12-15
1025,Chelsea Meyers,thomasemma@yahoo.com,185.529.7724x70554,Racheltown,CT,USA,2025-01-05
1026,Latoya Alexander,waterskeith@gmail.com,048.221.7577x295,North Sueton,HI,USA,2023-11-08
1027,Gregory Hart,znelson@gmail.com,5536550999,Lake Samuel,NH,USA,2024-05-26
1028,Christine Sanders,mchandler@hotmail.com,706-204-1960,Rebeccahaven,IA,USA,2023-07-02
1029,Sandra Rogers,fhernandez@hotmail.com,210.779.8886x2023,East Sabrinamouth,NV,USA,2024-11-24
1030,Paul Hanson,abaker@goodman.info,286.181.6598,West William,KS,USA,2022-04-13
1031,Taylor Johnson,xjackson@sanders.com,+1-787-732-3648x882,Donnaland,TN,USA,2023-05-06
1032,Stephanie Livingston,andreahenson@hotmail.com,537.238.6304x81831,Williamsside,WA,USA,2022-05-17
1033,Mary Martin,briannamarshall@tucker.com,067-000-6823x43664,North Shelby,NV,USA,2022-06-28
1034,Steven Bryant,ckennedy@li.com,+1-252-636-2837,Ianview,MS,USA,2023-10-31
1035,Charlene Luna,kennedyoscar@hotmail.com,272.395.2742x2356,Vanessaton,MD,USA,2023-05-04
1036,Seth Hernandez,brownkristi@russo.com,001-102-605-0669x56189,New Melissa,AR,USA,2022-06-14
1037,Michelle Kelly,wfoley@arnold-watkins.net,(985)342-9934,Brendaport,SD,USA,2023-09-27
1038,Thomas Long,carlosjohnson@mcclure.com,001-343-918-8433x344,Mitchellberg,KY,USA,2024-09-30
1039,Jill Garza,johnsonanita@johnson.biz,287.524.6692,Edwardstad,NY,USA,2024-07-16
1040,Jared Bryant,logan05@smith-cervantes.biz,+1-182-940-8340x7298,Lyonsberg,NV,USA,2024-05-12
1041,John Rivera,jordanjulie@marquez-ross.com,180.519.4850,Starkview,MD,USA,2023-03-26
1042,Traci Welch,gordonamanda@rogers.com,907.136.5547,South Sean,NM,USA,2022-12-04
1043,Matthew Martinez,jleon@ramirez.com,001-115-713-4688,Blackmouth,IN,USA,2023-11-19
1044,Stephanie Fuller,vanessamorales@yahoo.com,+1-057-633-4014,West Michelle,RI,USA,2022-10-11
1045,John Vance,thomasrobinson@moreno-blackburn.org,+1-095-729-2693,Taylorborough,MS,USA,2023-04-07
1046,Nancy Owens,kathy91@fernandez-morrison.com,001-901-289-2845,Guzmanburgh,IL,USA,2022-03-21
1047,Brenda Wilkins,kimberly32@hotmail.com,607.526.4405x252,Gardnerside,OR,USA,2023-02-17
1048,Robin Green,jason65@yahoo.com,001-459-409-2819x77454,New Greghaven,VA,USA,2023-12-03
1049,Timothy Garcia,browningvalerie@torres-roberts.info,(772)655-8189,Jessicaborough,CT,USA,2024-04-17
1050,Elizabeth Peterson,taylorchad@gmail.com,001-742-157-2084x633,East Samanthastad,CT,USA,2023-08-28
1051,Jason Berry,ymiller@smith.com,439-132-2662x7669,West Anneville,OR,USA,2024-06-11
1052,Amanda Castillo,emitchell@castro.com,011-100-7501,Port Susanborough,AR,USA,2024-11-19
1053,Lori Walls,ithompson@hotmail.com,(573)418-4527,South Katherinefort,CA,USA,2023-01-13
1054,Jon Dillon,cooperrobert@yahoo.com,963.293.1142,West Luis,OH,USA,2022-12-28
1055,Ethan Shaw,julia85@hotmail.com,2584670851,New James,CO,USA,2024-02-25
1056,Tina Case,cameron87@yahoo.com,8252608358,Port Theresa,ND,USA,2022-03-11
1057,Melissa Beard,xbutler@scott.com,+1-652-884-4196x183,North Angela,VA,USA,2024-07-27
1058,Peter Cunningham,fwhite@finley.com,+1-184-714-0422x8525,Karenstad,KS,USA,2023-11-25
1059,Gina Smith,pinedajason@hotmail.com,081-001-5901,Mendozaberg,WI,USA,2022-10-31
1060,Sean Matthews,juliaruiz@schneider.org,854.026.1869,Butlertown,MT,USA,2023-04-02
1061,Jamie Carpenter,cainshelia@hotmail.com,001-921-686-4909,Kathleenville,DE,USA,2024-09-13
1062,Kathleen Martinez,melissahansen@gmail.com,+1-092-121-3886,Port Timothy,MS,USA,2023-11-23
1063,Dr. Christopher Tate,eharrison@gregory-castillo.biz,664-441-6126x85058,Port Sharon,MI,USA,2023-06-26
1064,Stacy Fox,nrichardson@porter.com,(705)794-6118,Robertland,HI,USA,2024-09-21
1065,Patricia Baxter,johnsonanna@rodriguez.net,0240527172,Port Sean,NV,USA,2024-10-10
1066,Julie Thomas,bcharles@hotmail.com,729.802.9827x0293,North Jackbury,AK,USA,2022-11-24
1067,Lynn Leon,rachelcruz@sanders-clark.com,001-246-604-8849x3628,East Teresa,KY,USA,2022-03-11
1068,Jackson Hunter,taylormichael@austin-fry.com,044.046.8055x88993,South Dawn,WI,USA,2023-06-21
1069,Jessica Mcclain,qdunn@lewis-yang.net,0226747922,Greenton,KS,USA,2023-12-18
1070,Joy Harris,gibsoncharles@hotmail.com,+1-003-732-6148x5383,Wagnerburgh,RI,USA,2023-05-04
1071,Jean Shaffer,kathryn07@yahoo.com,+1-557-021-9186x21490,Williamville,TX,USA,2024-04-20
